10000000173,ALAN RICK MIRANDA,AC,PRB,1012,20571938000179
10000000721,ANA PAULA MORAIS DE HOLANDA,AC,PSOL,5012,20715912000157
10000000614,ANTÔNIA LUCILEIA CRUZ RAMOS CÂMARA,AC,PSC,2020,20580764000100
10000000157,AURINETE DE OLIVEIRA SILVA,AC,PT,1365,
10000000158,CARLOS CESAR CORREIA DE MESSIAS,AC,PSB,4040,20572181000138
10000000619,CLAUDENOR MAGALHÃES SANTANA DE SOUZA,AC,PP,1101,20603186000180
10000000602,DEODATO NUNES DE FRANÇA,AC,PPS,2323,20578216000146
10000000621,EDMAR NEGREIROS DA SILVA,AC,PP,1145,
10000000608,EDSON BRAGA RODRIGUES,AC,PSDB,4567,20581615000166
10000000135,EMERSON DA SILVA SANTOS,AC,PSOL,5050,20572508000171
10000000606,FAGNER ROJAS SALES,AC,PMDB,1515,
10000000613,FLAVIANO FLÁVIO BAPTISTA DE MELO,AC,PMDB,1555,20580615000141
10000000179,FRANCE SPYM PINTRO SOSTER,AC,PHS,3131,20572238000107
10000000159,FRANCISCA CILENE RODRIGUES LOPES,AC,PT,1377,
10000000327,FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO,AC,PV,4321,20602873000181
10000000603,FRANCISCO CARLOS OLIVEIRA DA CRUZ,AC,PT do B,7070,20578614000162
10000000363,FRANCISCO CARLOS OLIVEIRA DE LIMA,AC,DEM,2511,20618246000139
10000000610,FRANCISCO NAZARENO DA SILVA,AC,PSDB,4510,20578578000137
10000000142,GERALDO SILVA DOS SANTOS,AC,PSOL,5051,20571326000186
10000000160,GRACE MONICA ALVIM COELHO,AC,PT,1300,
10000000347,HILÁRIO JOSÉ DO NASCIMENTO,AC,PV,4399,20570765000174
10000000161,IDESIO LUIS FRANKE,AC,PT,1333,20570777000107
10000000616,ILDERLEI SOUZA RODRIGUES CORDEIRO,AC,PR,2222,20578642000180
10000000365,JOAQUIM LIRA DE CARVALHO,AC,DEM,2500,20621864000138
10000000180,JOSE AFONSO VASCONCELOS FERNADES,AC,PSDC,2727,20570312000148
10000000622,JOSE AUGUSTO BATISTA DE AGUIAR,AC,PSD,5555,20578400000196
10000000366,JOSÉ AUGUSTO LEANDRO RODRIGUES,AC,DEM,2580,20572057000172
10000000624,JOSÉ EDMAR RONIVON SANTIAGO DE MELO,AC,PP,1112,20580220000149
10000000178,JOSÉ LUIS SCHAFER,AC,PDT,1212,20602795000115
10000000618,JOSÉ RIBAMAR COSTA,AC,PP,1123,20580027000108
10000000609,JOSÉ VIEIRA DE FARIAS,AC,PSDB,4500,20578218000135
10000000176,JUAREZ PEDROSA CAVALCANTE,AC,PTN,1919,20570276000112
10000000761,JÉSSICA ROJAS SALES,AC,PMDB,1515,20778294000194
10000000175,KENNY ROBERT FONSECA VASCONCELOS,AC,PPL,5432,
10000000620,LEILANE RIBEIRO DE OLIVEIRA,AC,PP,1111,20579743000175
10000000162,LENILDA DE SOUSA QUEIROZ,AC,PT,1311,
10000000163,LEONARDO CUNHA DE BRITO,AC,PT,1331,20572642000172
10000000625,LUIZ ANUTE DOS SANTOS,AC,SD,7777,20581612000122
10000000611,LUIZETE SILVA E SILVA,AC,PSDB,4554,20670611000154
10000000164,MARCELO FEITOSA DE ARAÚJO,AC,PT,1310,20572670000190
10000000605,MARFIZA DE LIMA GALVÃO,AC,PSD,5533,20609864000112
10000000348,MARIA JOICILENE SOUZA SILVA NOBRE,AC,PV,4325,20571918000106
10000000612,MARIA NAZARE PEREIRA LIMA DE CARVALHO,AC,PSD,5500,20578395000111
10000000369,MARIA SOCORRO SOARES DE OLIVEIRA,AC,DEM,2533,20618240000161
10000000367,MARIA TERESA GAUNA,AC,DEM,2515,20571966000196
10000000165,MARILEIDE SERAFIM DE ANDRADE,AC,PSL,1733,
10000000174,MARIO SERGIO MOURA DA SILVA,AC,PPL,5431,
10000000604,MIRACY BEZERRA DOS SANTOS,AC,PT do B,7088,
10000000172,MOISES DINIZ LIMA,AC,PC do B,6513,20570623000107
10000000368,NORMANDO RODRIGUES SALES,AC,DEM,2525,20570199000109
10000000617,OSVALDO ALVES RIBEIRO NETO,AC,PP,1122,20578771000178
10000000166,RAIMUNDO ANGELIM VASCONCELOS,AC,PT,1314,20569246000196
10000000177,RAIMUNDO VAZ DE AZEVEDO,AC,PRP,4444,20569429000101
10000000167,RAIZZA MARIA CARDOSO DE AZEVEDO,AC,PT,1399,
10000000168,RAMAO VIEIRA DE OLIVEIRA,AC,PROS,9090,20570435000189
10000000169,REGINA AMELIA D ALENCAR LINO,AC,PTB,1400,20602734000158
10000000170,ROSELI COSTA,AC,PT,1321,20571242000142
10000000623,RUY MEDEIROS DE ARAÚJO BIRICO,AC,PSD,5524,20581470000101
10000000370,SAULO DE FREITAS RIBEIRO,AC,DEM,2577,20570308000180
